Tool                           | Loc | Total | Missing | Pending | % Done
png-to-jpg-converter           | es | 33    | 0       | 1       | 97%
png-to-webp-converter          | ru | 33    | 0       | 1       | 97%
png-to-webp-converter          | es | 33    | 0       | 1       | 97%
svg-to-jpg-converter           | ru | 37    | 0       | 1       | 97%
svg-to-jpg-converter           | es | 37    | 0       | 1       | 97%
svg-to-png-converter           | ru | 42    | 0       | 6       | 86%
svg-to-png-converter           | es | 42    | 0       | 6       | 86%
webp-to-jpg-converter          | ru | 38    | 0       | 1       | 97%
webp-to-jpg-converter          | es | 38    | 0       | 4       | 89%
excel-to-pdf                   | ru | 25    | 0       | 2       | 92%
excel-to-pdf                   | es | 25    | 0       | 2       | 92%
jpg-to-pdf                     | ru | 25    | 0       | 2       | 92%
jpg-to-pdf                     | es | 25    | 0       | 2       | 92%
pdf-compressor                 | ru | 31    | 0       | 2       | 94%
pdf-compressor                 | es | 31    | 0       | 2       | 94%
pdf-merger                     | ru | 25    | 0       | 2       | 92%
pdf-merger                     | es | 25    | 0       | 2       | 92%
pdf-splitter                   | ru | 29    | 0       | 2       | 93%
pdf-splitter                   | es | 29    | 0       | 2       | 93%
pdf-to-excel                   | ru | 25    | 0       | 2       | 92%
pdf-to-excel                   | es | 25    | 0       | 2       | 92%
pdf-to-jpg                     | ru | 25    | 0       | 2       | 92%
pdf-to-jpg                     | es | 25    | 0       | 2       | 92%
pdf-to-ppt                     | ru | 25    | 0       | 2       | 92%
pdf-to-ppt                     | es | 25    | 0       | 25      | 0%
pdf-to-word                    | ru | 25    | 0       | 2       | 92%
pdf-to-word                    | es | 25    | 0       | 2       | 92%
ppt-to-pdf                     | ru | 25    | 0       | 2       | 92%
ppt-to-pdf                     | es | 25    | 0       | 25      | 0%
word-to-pdf                    | ru | 25    | 0       | 2       | 92%
word-to-pdf                    | es | 25    | 0       | 2       | 92%
dns-lookup                     | ru | 35    | 0       | 17      | 51%
dns-lookup                     | es | 35    | 0       | 17      | 51%
domain-to-ip                   | ru | 54    | 0       | 16      | 70%
domain-to-ip                   | es | 54    | 0       | 16      | 70%
internet-speed-test            | ru | 73    | 0       | 73      | 0%
internet-speed-test            | es | 73    | 0       | 73      | 0%
ip-lookup                      | ru | 43    | 0       | 23      | 47%
ip-lookup                      | es | 43    | 0       | 23      | 47%
ping-test                      | ru | 36    | 0       | 16      | 56%
ping-test                      | es | 36    | 0       | 16      | 56%
port-checker                   | ru | 39    | 0       | 16      | 59%
port-checker                   | es | 39    | 0       | 16      | 59%
reverse-dns-lookup             | ru | 4     | 0       | 4       | 0%
reverse-dns-lookup             | es | 4     | 0       | 4       | 0%
traceroute                     | ru | 29    | 0       | 8       | 72%
traceroute                     | es | 29    | 0       | 8       | 72%
user-agent-parser              | ru | 45    | 0       | 45      | 0%
user-agent-parser              | es | 45    | 0       | 45      | 0%
what-is-my-ip                  | ru | 54    | 0       | 14      | 74%
what-is-my-ip                  | es | 54    | 0       | 14      | 74%
what-is-my-isp                 | ru | 55    | 0       | 10      | 82%
what-is-my-isp                 | es | 55    | 0       | 10      | 82%
whois-lookup                   | ru | 37    | 0       | 10      | 73%
whois-lookup                   | es | 37    | 0       | 10      | 73%
